DATE,GENRE,TRACK,ARTIST,CALORIES,EMBED
2022-04-13,Indie,Backward in Love,shy kids,312,68JW0PqQ1hyw3bEhouRzy8?utm_source=generator&theme=0
2022-04-14,Indie,Backward in Love,shy kids,671,68JW0PqQ1hyw3bEhouRzy8?utm_source=generator&theme=0
2022-04-15,Alternate Indie,COMING HOME,"HONNE, NIKI",423,3hfRucio8TtptNiHFmBCOq?utm_source=generator&theme=0
2022-04-16,Pop Rap,feeling this bad (v2),Tai Verdes,286,7BkRNswr9cvCJBArfJntb8?utm_source=generator&theme=0
2022-04-17,Alternate Indie,New Orleans,DelMar,532,0kSlQloOeDz2ntBG05sUEA?utm_source=generator&theme=0
2022-04-18,Alternate Indie,Missing Piece,Vance Joy,997,5YqdiryRmdAzYFlxo43hAJ?utm_source=generator&theme=0
2022-04-19,Alternate Indie,no song without you,HONNE,360,1lNHWPDvKEbamKezpLq7HW?utm_source=generator&theme=0
2022-04-20,Pop,Marry You,Bruno Mars,558,22PMfvdz35fFKYnJyMn077?utm_source=generator&theme=0
2022-04-21,Pop,Fine By Me,Andy Grammer,640,4wTChU0tU44TAMC0xcQizi?utm_source=generator&theme=0
2022-04-22,Country,I Should Probably Go To Bed,Dan + Shay,385,5ovVcYo2MvjVydFwFyaaqy?utm_source=generator&theme=0
2022-04-23,-,-,-,0,
2022-04-24,Pop,Breakeven,The Script,598,285hMzLhJwHVLe9QT9qilk?utm_source=generator&theme=0
2022-04-25,Country,Body Like A Back Road,Sam Hunt,498,7mldq42yDuxiUNn08nvzHO?utm_source=generator&theme=0
2022-04-26,Alternate Indie,Mr. Angel,Tommy Newport,334,29gMFgHls5ghU24gLLFTf4?utm_source=generator&theme=0
2022-04-27,Electronic,Mr. Blue Sky,Clay K Slider,150,0gHZO7GO6lKT7qD8fmsIqY?utm_source=generator&theme=0
2022-04-28,Alternate Indie,She Wants My Money,Dominic Fike,607,0IajnzlicUA89rZSkqfLPS?utm_source=generator&theme=0
2022-04-29,Indie,Maybe,RICEWINE,506,7sljA9XJXVCbbXLK5XpDtu?utm_source=generator&theme=0
2022-04-30,Indie,spinnin,mazie,714,0yB9bFHPntWhj0iJoVFkDm?utm_source=generator&theme=0
